"Type of data";"Periods";"Expenditure approach to GDP/Disposable for final expenditure/Total (million euros)";"Expenditure approach to GDP/Disposable for final expenditure/Gross domestic product (million euros)";"Expenditure approach to GDP/Disposable for final expenditure/Imports of goods and services/Total (million euros)";"Expenditure approach to GDP/Disposable for final expenditure/Imports of goods and services/Imports of goods (million euros)";"Expenditure approach to GDP/Disposable for final expenditure/Imports of goods and services/Imports of services (million euros)";"Expenditure approach to GDP/Final expenditure/Total (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Total (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Final consumption expenditure/Total (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Final consumption expenditure/Households including NPISHs (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Final consumption expenditure/General government (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Gross fixed capital formation/Total (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Gross fixed capital formation/Enterprises and households (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Gross fixed capital formation/General government (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Changes in inventories incl. valuables (million euros)";"Expenditure approach to GDP/Final expenditure/Exports of goods and services/Total (million euros)";"Expenditure approach to GDP/Final expenditure/Exports of goods and services/Exports of goods (million euros)";"Expenditure approach to GDP/Final expenditure/Exports of goods and services/Exports of services (million euros)"
"Prices of 2015";"2004 1st quarter";"  227450";"  151286";"   76534";"   58255";"   18042";"  227450";"  139075";"  110513";"   76516";"   33967";"   29515";"   23439";"    6071";"   -1036";"   88707";"   69989";"   18308"
"Prices of 2015";"2004 2nd quarter";"  235619";"  152426";"   83589";"   59924";"   22459";"  235619";"  143162";"  113419";"   76548";"   36836";"   30958";"   24908";"    6036";"   -1366";"   92614";"   71426";"   20828"
"Prices of 2015";"2004 3rd quarter";"  229732";"  147419";"   82570";"   60225";"   22102";"  229732";"  137926";"  109860";"   76476";"   33304";"   27282";"   21519";"    5757";"     724";"   92225";"   71418";"   20564"
"Prices of 2015";"2004 4th quarter";"  246279";"  157166";"   89615";"   63795";"   25595";"  246279";"  145082";"  112572";"   75201";"   37218";"   31479";"   24739";"    6770";"     937";"  101626";"   76216";"   25235"
"Prices of 2015";"2004";"  939065";"  608273";"  332406";"  242225";"   88345";"  939065";"  565232";"  446353";"  304722";"  141323";"  119466";"   94846";"   24644";"    -748";"  375282";"  289126";"   84923"
"Prices of 2015";"2005 1st quarter";"  233945";"  152604";"   81675";"   61653";"   19786";"  233945";"  138704";"  110210";"   76153";"   34028";"   29438";"   23648";"    5751";"   -1054";"   95577";"   74929";"   20200"
"Prices of 2015";"2005 2nd quarter";"  244804";"  155847";"   89379";"   63937";"   24153";"  244804";"  145358";"  114171";"   77176";"   36960";"   32212";"   26242";"    5928";"   -1217";"   99536";"   76625";"   22525"
"Prices of 2015";"2005 3rd quarter";"  238236";"  151292";"   87210";"   63563";"   23391";"  238236";"  141462";"  111849";"   77771";"   33997";"   29290";"   23498";"    5769";"     217";"   97162";"   75302";"   21605"
"Prices of 2015";"2005 4th quarter";"  252595";"  161004";"   92104";"   67161";"   24676";"  252595";"  148443";"  114607";"   76396";"   38061";"   32207";"   25530";"    6690";"    1515";"  104579";"   79665";"   24707"
"Prices of 2015";"2005";"  969567";"  620748";"  350447";"  256340";"   92155";"  969567";"  573945";"  450841";"  307495";"  143039";"  123361";"   99134";"   24153";"    -551";"  396899";"  306568";"   89028"
