 STN,YYYYMMDD,   SQ,   SP,    Q,   DR,   RH,  VVN,  VVX,   NG
  260,19900617,   94,   56, 2458,    0,    0,   27,   62,    2
  260,19900618,   28,   17, 1701,    0,   -1,   23,   57,    6
  260,19900619,    8,    5, 1042,   37,   89,   25,   63,    7
  260,19900620,    3,    2, 1136,   16,   67,   15,   70,    7
  260,19900621,   77,   46, 1730,   35,   12,   60,   80,    6
  260,19900622,   31,   19,  973,   50,   52,   45,   80,    7
  260,19900623,   68,   41, 1561,    9,   12,   57,   80,    6
  260,19900624,  114,   68, 2527,    0,   -1,   59,   75,    5
  260,19900625,    0,    0,  588,    0,   -1,   57,   70,    7
  260,19900626,   72,   43, 2046,    0,   -1,    1,   62,    6
  260,19900627,   51,   30, 1676,    1,    4,   12,   67,    7
  260,19900628,   73,   44, 1675,    0,    0,   58,   75,    5
  260,19900629,   36,   22, 1966,    0,    0,   57,   64,    5
  260,19900630,   35,   21, 1449,    8,   34,    0,   67,    5
  260,19900701,   33,   20, 1062,   32,  131,   22,   82,    6
  260,19900702,   94,   56, 2025,   11,   20,   59,   81,    6
  260,19900703,   58,   35, 1531,    0,    0,   57,   80,    4
  260,19900704,   48,   29, 1560,   10,    2,   50,   75,    6
  260,19900705,   18,   11, 1048,   45,  123,   56,   80,    7
  260,19900706,   44,   27, 1390,    5,    8,   59,   80,    6
  260,19900707,    0,    0,  443,   61,   23,   20,   59,    8
  260,19900708,   16,   10,  504,   30,    3,   18,   75,    6
  260,19900709,   26,   16, 1155,    7,   49,   60,   80,    7
  260,19900710,   66,   40, 1594,   15,   19,   58,   80,    5
  260,19900711,  152,   92, 2720,    0,    0,   58,   80,    2
  260,19900712,  114,   69, 2502,    0,    0,   56,   80,    3
  260,19900713,  153,   93, 2819,    0,    0,   61,   84,    2
  260,19900714,  152,   93, 2921,    0,    0,   68,   86,    1
  260,19900715,  145,   89, 2853,    0,    0,   67,   85,    2
  260,19900716,   72,   44, 1788,    0,    0,   56,   75,    5
  260,19900717,   91,   56, 1936,    0,    0,   68,   83,    6
  260,19900718,   69,   43, 1838,    0,    0,   68,   80,    5
  260,19900719,  122,   76, 2606,    0,    0,   25,   70,    2
  260,19900720,  128,   79, 2398,    0,    0,   45,   62,    1
  260,19900721,  122,   76, 2400,    0,    0,   12,   78,    1
  260,19900722,  135,   84, 2593,    0,    0,   65,   84,    2
  260,19900723,   58,   36, 1863,    0,    0,   75,   82,    5
  260,19900724,    1,    1, 1170,    0,    0,   75,   81,    7
  260,19900725,    1,    1,  828,    0,    0,   75,   80,    7
  260,19900726,  104,   66, 2122,    0,    0,   12,   75,    3
  260,19900727,   74,   47, 2008,    0,   -1,   45,   65,    5
  260,19900728,   57,   36, 1668,    7,   51,   30,   68,    6
  260,19900729,  100,   64, 2152,    5,    4,   30,   75,    5
  260,19900730,  138,   88, 2491,    0,    0,   62,   75,    3
  260,19900731,  133,   85, 2235,    0,   -1,   56,   75,    2
