"Housing characteristics";"Periods";"Regions";"Average consumption of natural gas (m3)";"Average supply of electricity (kWh)"
"Total dwellings";"2018";"Limburg (PV)";"    1450";"    3000"
"Total dwellings";"2019";"Limburg (PV)";"    1350";"    2900"
"Total dwellings";"2020";"Limburg (PV)";"    1270";"    2910"
"Total dwellings";"2021";"Limburg (PV)";"    1430";"    2940"
"Total dwellings";"2022*";"Limburg (PV)";"    1120";"    2800"
"Apartment";"2010";"The Netherlands";"    1200";"    2250"
"Apartment";"2011";"The Netherlands";"     950";"    2250"
"Apartment";"2012";"The Netherlands";"    1000";"    2250"
"Apartment";"2013";"The Netherlands";"    1050";"    2200"
"Apartment";"2014";"The Netherlands";"     800";"    2150"
"Apartment";"2015";"The Netherlands";"     840";"    2120"
"Apartment";"2016";"The Netherlands";"     870";"    2070"
"Apartment";"2017";"The Netherlands";"     840";"    2050"
"Apartment";"2018";"The Netherlands";"     830";"    2010"
"Apartment";"2019";"The Netherlands";"     770";"    1970"
"Apartment";"2020";"The Netherlands";"     750";"    1990"
"Apartment";"2021";"The Netherlands";"     840";"    2040"
"Apartment";"2022*";"The Netherlands";"     670";"    1950"
"Apartment";"2010";"Groningen (PV)";"    1450";"    2100"
"Apartment";"2011";"Groningen (PV)";"    1100";"    2050"
"Apartment";"2012";"Groningen (PV)";"    1250";"    2100"
"Apartment";"2013";"Groningen (PV)";"    1300";"    2050"
"Apartment";"2014";"Groningen (PV)";"    1000";"    2000"
"Apartment";"2015";"Groningen (PV)";"    1040";"    1940"
"Apartment";"2016";"Groningen (PV)";"    1080";"    1910"
"Apartment";"2017";"Groningen (PV)";"    1030";"    1900"
"Apartment";"2018";"Groningen (PV)";"    1030";"    1860"
"Apartment";"2019";"Groningen (PV)";"     940";"    1810"
"Apartment";"2020";"Groningen (PV)";"     870";"    1800"
"Apartment";"2021";"Groningen (PV)";"     960";"    1840"
"Apartment";"2022*";"Groningen (PV)";"     770";"    1780"
"Apartment";"2010";"Fryslân (PV)";"    1300";"    1900"
"Apartment";"2011";"Fryslân (PV)";"    1000";"    1900"
"Apartment";"2012";"Fryslân (PV)";"    1100";"    1900"
"Apartment";"2013";"Fryslân (PV)";"    1100";"    1850"
"Apartment";"2014";"Fryslân (PV)";"     850";"    1800"
"Apartment";"2015";"Fryslân (PV)";"     910";"    1790"
"Apartment";"2016";"Fryslân (PV)";"     940";"    1740"
"Apartment";"2017";"Fryslân (PV)";"     910";"    1720"
"Apartment";"2018";"Fryslân (PV)";"     900";"    1700"
"Apartment";"2019";"Fryslân (PV)";"     840";"    1670"
"Apartment";"2020";"Fryslân (PV)";"     810";"    1740"
"Apartment";"2021";"Fryslân (PV)";"     900";"    1800"
"Apartment";"2022*";"Fryslân (PV)";"     720";"    1740"
"Apartment";"2010";"Drenthe (PV)";"    1350";"    2100"
"Apartment";"2011";"Drenthe (PV)";"    1050";"    2100"
"Apartment";"2012";"Drenthe (PV)";"    1100";"    2100"
"Apartment";"2013";"Drenthe (PV)";"    1150";"    2050"
"Apartment";"2014";"Drenthe (PV)";"     850";"    2000"
"Apartment";"2015";"Drenthe (PV)";"     950";"    1990"
"Apartment";"2016";"Drenthe (PV)";"     990";"    1920"
"Apartment";"2017";"Drenthe (PV)";"     950";"    1890"
"Apartment";"2018";"Drenthe (PV)";"     930";"    1860"
"Apartment";"2019";"Drenthe (PV)";"     860";"    1830"
"Apartment";"2020";"Drenthe (PV)";"     840";"    1870"
"Apartment";"2021";"Drenthe (PV)";"     940";"    1910"
"Apartment";"2022*";"Drenthe (PV)";"     760";"    1850"
"Apartment";"2010";"Overijssel (PV)";"    1300";"    2250"
"Apartment";"2011";"Overijssel (PV)";"     950";"    2250"
"Apartment";"2012";"Overijssel (PV)";"    1050";"    2250"
"Apartment";"2013";"Overijssel (PV)";"    1100";"    2200"
"Apartment";"2014";"Overijssel (PV)";"     800";"    2100"
"Apartment";"2015";"Overijssel (PV)";"     860";"    2110"
"Apartment";"2016";"Overijssel (PV)";"     850";"    2030"
"Apartment";"2017";"Overijssel (PV)";"     820";"    2000"
"Apartment";"2018";"Overijssel (PV)";"     810";"    1960"
"Apartment";"2019";"Overijssel (PV)";"     740";"    1920"
"Apartment";"2020";"Overijssel (PV)";"     750";"    1970"
"Apartment";"2021";"Overijssel (PV)";"     870";"    2030"
"Apartment";"2022*";"Overijssel (PV)";"     700";"    1960"
"Apartment";"2010";"Flevoland (PV)";"     550";"    2300"
"Apartment";"2011";"Flevoland (PV)";"     450";"    2300"
"Apartment";"2012";"Flevoland (PV)";"     500";"    2300"
"Apartment";"2013";"Flevoland (PV)";"     500";"    2200"
"Apartment";"2014";"Flevoland (PV)";"     400";"    2200"
"Apartment";"2015";"Flevoland (PV)";"     410";"    2160"
"Apartment";"2016";"Flevoland (PV)";"     450";"    2100"
"Apartment";"2017";"Flevoland (PV)";"     440";"    2070"
"Apartment";"2018";"Flevoland (PV)";"     430";"    2040"
"Apartment";"2019";"Flevoland (PV)";"     400";"    1980"
"Apartment";"2020";"Flevoland (PV)";"     410";"    2060"
"Apartment";"2021";"Flevoland (PV)";"     460";"    2070"
"Apartment";"2022*";"Flevoland (PV)";"     370";"    2000"
"Apartment";"2010";"Gelderland (PV)";"    1250";"    2250"
"Apartment";"2011";"Gelderland (PV)";"    1000";"    2250"
"Apartment";"2012";"Gelderland (PV)";"    1050";"    2250"
"Apartment";"2013";"Gelderland (PV)";"    1100";"    2150"
"Apartment";"2014";"Gelderland (PV)";"     800";"    2100"
"Apartment";"2015";"Gelderland (PV)";"     910";"    2140"
"Apartment";"2016";"Gelderland (PV)";"     920";"    2040"
"Apartment";"2017";"Gelderland (PV)";"     890";"    2000"
"Apartment";"2018";"Gelderland (PV)";"     870";"    1960"
"Apartment";"2019";"Gelderland (PV)";"     800";"    1930"
"Apartment";"2020";"Gelderland (PV)";"     790";"    2010"
"Apartment";"2021";"Gelderland (PV)";"     890";"    2060"
"Apartment";"2022*";"Gelderland (PV)";"     720";"    1980"
"Apartment";"2010";"Utrecht (PV)";"    1000";"    2350"
"Apartment";"2011";"Utrecht (PV)";"     800";"    2300"
"Apartment";"2012";"Utrecht (PV)";"     800";"    2300"
"Apartment";"2013";"Utrecht (PV)";"     800";"    2200"
"Apartment";"2014";"Utrecht (PV)";"     650";"    2150"
"Apartment";"2015";"Utrecht (PV)";"     680";"    2150"
"Apartment";"2016";"Utrecht (PV)";"     730";"    2120"
"Apartment";"2017";"Utrecht (PV)";"     690";"    2090"
"Apartment";"2018";"Utrecht (PV)";"     680";"    2050"
"Apartment";"2019";"Utrecht (PV)";"     630";"    1990"
"Apartment";"2020";"Utrecht (PV)";"     630";"    2010"
"Apartment";"2021";"Utrecht (PV)";"     690";"    2070"
