"Bron/techniek";"Energietoepassingen";"Perioden";"Bruto eindverbruik (TJ)";"Bruto eindverbruik relatief (% van totaal eindverbruik energie)"
"Totaal zonne-energie";"Totaal energietoepassingen";"2019";"   20617";"    0.99"
"Totaal zonne-energie";"Totaal energietoepassingen";"2020";"   32729";"    1.68"
"Totaal zonne-energie";"Totaal energietoepassingen";"2021 ";"   41858";"    2.09"
"Totaal zonne-energie";"Totaal energietoepassingen";"2022 ";"   61132";"    3.30"
"Totaal zonne-energie";"Totaal energietoepassingen";"2023 **";"   71657";"    4.02"
"Zonnestroom";"Totaal energietoepassingen";"2000";"      28";"    0.00"
"Zonnestroom";"Totaal energietoepassingen";"2001";"      42";"    0.00"
"Zonnestroom";"Totaal energietoepassingen";"2002";"      59";"    0.00"
"Zonnestroom";"Totaal energietoepassingen";"2003";"      91";"    0.00"
"Zonnestroom";"Totaal energietoepassingen";"2004";"     121";"    0.01"
"Zonnestroom";"Totaal energietoepassingen";"2005";"     128";"    0.01"
"Zonnestroom";"Totaal energietoepassingen";"2006";"     132";"    0.01"
"Zonnestroom";"Totaal energietoepassingen";"2007";"     135";"    0.01"
"Zonnestroom";"Totaal energietoepassingen";"2008";"     143";"    0.01"
"Zonnestroom";"Totaal energietoepassingen";"2009";"     162";"    0.01"
"Zonnestroom";"Totaal energietoepassingen";"2010";"     201";"    0.01"
"Zonnestroom";"Totaal energietoepassingen";"2011";"     376";"    0.02"
"Zonnestroom";"Totaal energietoepassingen";"2012";"     686";"    0.03"
"Zonnestroom";"Totaal energietoepassingen";"2013";"    1476";"    0.07"
"Zonnestroom";"Totaal energietoepassingen";"2014";"    2611";"    0.13"
"Zonnestroom";"Totaal energietoepassingen";"2015";"    3991";"    0.19"
"Zonnestroom";"Totaal energietoepassingen";"2016";"    5767";"    0.28"
"Zonnestroom";"Totaal energietoepassingen";"2017";"    7936";"    0.38"
"Zonnestroom";"Totaal energietoepassingen";"2018";"   13354";"    0.63"
"Zonnestroom";"Totaal energietoepassingen";"2019";"   19437";"    0.94"
"Zonnestroom";"Totaal energietoepassingen";"2020";"   31553";"    1.62"
"Zonnestroom";"Totaal energietoepassingen";"2021 ";"   40694";"    2.03"
"Zonnestroom";"Totaal energietoepassingen";"2022 ";"   59964";"    3.24"
"Zonnestroom";"Totaal energietoepassingen";"2023 **";"   70481";"    3.95"
"Zonnewarmte";"Totaal energietoepassingen";"2000";"     454";"    0.02"
"Zonnewarmte";"Totaal energietoepassingen";"2001";"     511";"    0.02"
"Zonnewarmte";"Totaal energietoepassingen";"2002";"     575";"    0.03"
"Zonnewarmte";"Totaal energietoepassingen";"2003";"     624";"    0.03"
"Zonnewarmte";"Totaal energietoepassingen";"2004";"     674";"    0.03"
"Zonnewarmte";"Totaal energietoepassingen";"2005";"     719";"    0.03"
"Zonnewarmte";"Totaal energietoepassingen";"2006";"     755";"    0.03"
"Zonnewarmte";"Totaal energietoepassingen";"2007";"     798";"    0.04"
"Zonnewarmte";"Totaal energietoepassingen";"2008";"     846";"    0.04"
"Zonnewarmte";"Totaal energietoepassingen";"2009";"     926";"    0.04"
"Zonnewarmte";"Totaal energietoepassingen";"2010";"     994";"    0.04"
"Zonnewarmte";"Totaal energietoepassingen";"2011";"    1040";"    0.05"
"Zonnewarmte";"Totaal energietoepassingen";"2012";"    1070";"    0.05"
"Zonnewarmte";"Totaal energietoepassingen";"2013";"    1106";"    0.05"
"Zonnewarmte";"Totaal energietoepassingen";"2014";"    1128";"    0.06"
"Zonnewarmte";"Totaal energietoepassingen";"2015";"    1137";"    0.06"
"Zonnewarmte";"Totaal energietoepassingen";"2016";"    1147";"    0.05"
"Zonnewarmte";"Totaal energietoepassingen";"2017";"    1144";"    0.05"
"Zonnewarmte";"Totaal energietoepassingen";"2018";"    1156";"    0.05"
"Zonnewarmte";"Totaal energietoepassingen";"2019";"    1180";"    0.06"
"Zonnewarmte";"Totaal energietoepassingen";"2020";"    1176";"    0.06"
"Zonnewarmte";"Totaal energietoepassingen";"2021 ";"    1164";"    0.06"
"Zonnewarmte";"Totaal energietoepassingen";"2022 ";"    1168";"    0.06"
"Zonnewarmte";"Totaal energietoepassingen";"2023 **";"    1176";"    0.07"
"Totaal aardwarmte en bodemenergie";"Totaal energietoepassingen";"2000";"     156";"    0.01"
"Totaal aardwarmte en bodemenergie";"Totaal energietoepassingen";"2001";"     187";"    0.01"
"Totaal aardwarmte en bodemenergie";"Totaal energietoepassingen";"2002";"     244";"    0.01"
"Totaal aardwarmte en bodemenergie";"Totaal energietoepassingen";"2003";"     311";"    0.01"
"Totaal aardwarmte en bodemenergie";"Totaal energietoepassingen";"2004";"     452";"    0.02"
"Totaal aardwarmte en bodemenergie";"Totaal energietoepassingen";"2005";"     628";"    0.03"
"Totaal aardwarmte en bodemenergie";"Totaal energietoepassingen";"2006";"     840";"    0.04"
"Totaal aardwarmte en bodemenergie";"Totaal energietoepassingen";"2007";"    1141";"    0.05"
"Totaal aardwarmte en bodemenergie";"Totaal energietoepassingen";"2008";"    1584";"    0.07"
"Totaal aardwarmte en bodemenergie";"Totaal energietoepassingen";"2009";"    1983";"    0.09"
"Totaal aardwarmte en bodemenergie";"Totaal energietoepassingen";"2010";"    2501";"    0.11"
"Totaal aardwarmte en bodemenergie";"Totaal energietoepassingen";"2011";"    2854";"    0.13"
"Totaal aardwarmte en bodemenergie";"Totaal energietoepassingen";"2012";"    3347";"    0.15"
"Totaal aardwarmte en bodemenergie";"Totaal energietoepassingen";"2013";"    4140";"    0.19"
"Totaal aardwarmte en bodemenergie";"Totaal energietoepassingen";"2014";"    4906";"    0.24"
"Totaal aardwarmte en bodemenergie";"Totaal energietoepassingen";"2015";"    6082";"    0.30"
"Totaal aardwarmte en bodemenergie";"Totaal energietoepassingen";"2016";"    6699";"    0.32"
"Totaal aardwarmte en bodemenergie";"Totaal energietoepassingen";"2017";"    7127";"    0.34"
"Totaal aardwarmte en bodemenergie";"Totaal energietoepassingen";"2018";"    8114";"    0.38"
