variant,strategy,horizon,mape,n,delta_vs_v0,delta_vs_oracle
V1_nwp_proxy,Filter,3,3.464278938244992,50,-0.39156826571586434,0.027678938244992235
V1_nwp_proxy,Filter,7,4.287308264429582,50,0.0,-0.20269173557041853
V1_nwp_proxy,Filter,30,4.5868696895483545,50,0.0,-0.10433031045164576
V1_nwp_proxy,Filter,90,5.339265570613729,50,0.0,0.2891655706137293
V1_nwp_proxy,Filter,180,5.3802126454977435,50,0.0,0.5691126454977438
V2_ar_decay,Filter,1,2.6224263746494993,50,-0.16328190880230764,0.10522637464949947
V2_ar_decay,Filter,3,3.6823277482035093,50,-0.17351945575734717,0.2457277482035094
V2_ar_decay,Filter,7,4.480810673110222,50,0.19350240868064006,-0.00918932688977847
V2_ar_decay,Filter,30,4.601763647432197,50,0.01489395788384229,-0.08943635256780347
V2_ar_decay,Filter,90,5.342740615471101,50,0.003475044857371934,0.2926406154711012
V2_ar_decay,Filter,180,5.385570204185595,50,0.0053575586878515935,0.5744702041855954
V3_trend_clim,Filter,1,2.785708283451807,50,0.0,0.2685082834518071
V3_trend_clim,Filter,3,3.8558472039608565,50,0.0,0.4192472039608566
V3_trend_clim,Filter,7,4.287308264429582,50,0.0,-0.20269173557041853
V3_trend_clim,Filter,30,4.55598455518853,50,-0.030885134359824207,-0.13521544481146996
V3_trend_clim,Filter,90,5.31939480090877,50,-0.01987076970495849,0.2692948009087708
V3_trend_clim,Filter,180,5.364681782135233,50,-0.015530863362510416,0.5535817821352333
V4_pub_lag,Filter,1,3.1445038846446547,50,0.3587956011928477,0.6273038846446548
V4_pub_lag,Filter,3,4.071395448132121,50,0.21554824417126417,0.6347954481321207
V4_pub_lag,Filter,7,4.716940438229979,50,0.429632173800397,0.22694043822997845
V4_pub_lag,Filter,30,4.683749128265389,50,0.09687943871703464,-0.00745087173461112
V4_pub_lag,Filter,90,5.414270170937557,50,0.07500460032382783,0.3641701709375571
V4_pub_lag,Filter,180,5.785624624358133,50,0.40541197886038915,0.9745246243581329
V0_baseline,PCA,1,3.064529227954796,50,0.0,0.37162922795479636
V0_baseline,PCA,3,4.128094593484715,50,0.0,0.18249459348471442
V0_baseline,PCA,7,4.731948407667717,50,0.0,0.3127484076677174
V0_baseline,PCA,30,4.545408347245598,50,0.0,0.013108347245597507
V0_baseline,PCA,90,5.070736020479242,50,0.0,0.0763360204792427
V0_baseline,PCA,180,4.424196518305811,50,0.0,-0.033903481694189
V1_nwp_proxy,PCA,1,2.69294543305451,50,-0.37158379490028626,4.5433054510102266e-05
V1_nwp_proxy,PCA,3,3.942711713001697,50,-0.18538288048301776,-0.0028882869983033466
V1_nwp_proxy,PCA,7,4.731948407667717,50,0.0,0.3127484076677174
V1_nwp_proxy,PCA,30,4.545408347245598,50,0.0,0.013108347245597507
V1_nwp_proxy,PCA,90,5.070736020479242,50,0.0,0.0763360204792427
V1_nwp_proxy,PCA,180,4.424196518305811,50,0.0,-0.033903481694189
V2_ar_decay,PCA,1,2.937076026633676,50,-0.12745320132112026,0.2441760266336761
V2_ar_decay,PCA,3,4.001301435815931,50,-0.12679315766878396,0.055701435815930456
V2_ar_decay,PCA,7,4.701348889456197,50,-0.030599518211520405,0.282148889456197
V2_ar_decay,PCA,30,4.534815519415456,50,-0.010592827830142149,0.0025155194154553584
V2_ar_decay,PCA,90,5.067276251661476,50,-0.003459768817766218,0.07287625166147649
V2_ar_decay,PCA,180,4.4234281167963765,50,-0.0007684015094344687,-0.034671883203623466
V3_trend_clim,PCA,1,3.064529227954796,50,0.0,0.37162922795479636
V3_trend_clim,PCA,3,4.128094593484715,50,0.0,0.18249459348471442
V3_trend_clim,PCA,7,4.731948407667717,50,0.0,0.3127484076677174
V3_trend_clim,PCA,30,4.52614276961622,50,-0.019265577629377972,-0.006157230383780465
V3_trend_clim,PCA,90,5.055538774176971,50,-0.015197246302271594,0.06113877417697111
V3_trend_clim,PCA,180,4.4015706648620325,50,-0.022625853443778432,-0.05652933513796743
V4_pub_lag,PCA,1,3.026765981870691,50,-0.037763246084105084,0.3338659818706913
V4_pub_lag,PCA,3,4.072940066911075,50,-0.05515452657363973,0.1273400669110747
