strategy,lag,acf,wn_band_95,exceeds_band
Ridge,12,-0.03493487227175411,0.029955974859885964,True
Ridge,13,0.025016657464277316,0.029955974859885964,False
Ridge,14,-0.013169655027526395,0.029955974859885964,False
Ridge,15,0.010359701206121246,0.029955974859885964,False
Ridge,16,-0.0009204148451790788,0.029955974859885964,False
Ridge,17,-0.0022614556628170867,0.029955974859885964,False
Ridge,18,-0.008326777136613592,0.029955974859885964,False
Ridge,19,0.007704810806228562,0.029955974859885964,False
Ridge,20,-0.0006285518657943858,0.029955974859885964,False
Ridge,21,-0.01773601030855575,0.029955974859885964,False
Ridge,22,-0.004411879245154414,0.029955974859885964,False
Ridge,23,-0.0005343755192233226,0.029955974859885964,False
Ridge,24,0.0012258774039592872,0.029955974859885964,False
Ridge,25,0.004975290656958144,0.029955974859885964,False
Ridge,26,0.0043830589091095684,0.029955974859885964,False
Ridge,27,-0.015135526040879272,0.029955974859885964,False
Ridge,28,-0.005210955840112102,0.029955974859885964,False
Ridge,365,0.07480524131082861,0.029955974859885964,True
Lasso,1,-0.014424609776400003,0.029955974859885964,False
Lasso,2,0.06093531394993794,0.029955974859885964,True
Lasso,3,-0.05181381498343508,0.029955974859885964,True
Lasso,4,-0.028955838241001605,0.029955974859885964,False
Lasso,5,-0.056803007128343304,0.029955974859885964,True
Lasso,6,0.04135529073678099,0.029955974859885964,True
Lasso,7,0.08377787399097888,0.029955974859885964,True
Lasso,8,0.048234932819835846,0.029955974859885964,True
Lasso,9,-0.04881367236614209,0.029955974859885964,True
Lasso,10,0.010692897696284374,0.029955974859885964,False
Lasso,11,-0.00845320945250504,0.029955974859885964,False
Lasso,12,-0.04295718866817232,0.029955974859885964,True
Lasso,13,0.022327494560333474,0.029955974859885964,False
Lasso,14,-0.012777446427773136,0.029955974859885964,False
Lasso,15,0.011442380548095299,0.029955974859885964,False
Lasso,16,-0.0071768022591857826,0.029955974859885964,False
Lasso,17,-0.005389210242981743,0.029955974859885964,False
Lasso,18,-0.01400332376447277,0.029955974859885964,False
Lasso,19,0.003984942493198949,0.029955974859885964,False
Lasso,20,-0.0013659583463408087,0.029955974859885964,False
Lasso,21,-0.014760754920977889,0.029955974859885964,False
Lasso,22,-0.005606240430433693,0.029955974859885964,False
Lasso,23,0.000990307321871199,0.029955974859885964,False
Lasso,24,-0.0008369160518696519,0.029955974859885964,False
Lasso,25,-0.0008777057345778534,0.029955974859885964,False
Lasso,26,0.006659584587248567,0.029955974859885964,False
Lasso,27,-0.01896022054450236,0.029955974859885964,False
Lasso,28,0.0012771720039335178,0.029955974859885964,False
Lasso,365,0.06855467184018517,0.029955974859885964,True
