strategy,window,feature,coef
Lasso,train+val+test,sunshine_h,-160.83456589151757
Lasso,train+val+test,global_rad,48.87740581003415
Lasso,train+val+test,pressure_hpa,-30.77685905335891
Lasso,train+val+test,nao,83.58293205766338
Lasso,train+val+test,gdp_mln_eur,367.9215889940211
Lasso,train+val+test,population,26.269233297890082
Lasso,train+val+test,wind_energy_gwh,-105.20675274282128
Lasso,train+val+test,solar_energy_gwh,-299.2015832239815
Lasso,train+val+test,day_of_week,-5.399990129483991
Lasso,train+val+test,month,-30.954386306409315
Lasso,train+val+test,is_weekend,-1666.0992434793586
Lasso,train+val+test,is_holiday,-1463.126707010472
Lasso,train+val+test,sin1_ann,-38.94983512406736
Lasso,train+val+test,cos1_ann,664.7927429254128
Lasso,train+val+test,sin2_ann,4.626282615385443
Lasso,train+val+test,cos2_ann,334.0131107546968
